,Vehicle,engine_type,engine_config,cylinders,displacement,hp,tq
26,2016 Acura RDX Specs: AWD 4-Door AcuraWatch Plus Pkg,v6,v,6,3.5,279,252
27,2015 Acura RDX Specs: AWD 4-Door,v6,v,6,3.5,273,251
28,2015 Acura RDX Specs: FWD 4-Door Tech Pkg,v6,v,6,3.5,273,251
29,2015 Acura RDX Specs: FWD 4-Door,v6,v,6,3.5,273,251
30,2015 Acura RDX Specs: AWD 4-Door Tech Pkg,v6,v,6,3.5,273,251
31,2014 Acura RDX Specs: AWD 4-Door,v6,v,6,3.5,273,251
32,2014 Acura RDX Specs: FWD 4-Door Tech Pkg,v6,v,6,3.5,273,251
33,2014 Acura RDX Specs: FWD 4-Door,v6,v,6,3.5,273,251
34,2014 Acura RDX Specs: AWD 4-Door Tech Pkg,v6,v,6,3.5,273,251
35,2013 Acura RDX Specs: AWD 4-Door,v6,v,6,3.5,273,251
36,2013 Acura RDX Specs: FWD 4-Door Tech Pkg,v6,v,6,3.5,273,251
37,2013 Acura RDX Specs: FWD 4-Door,v6,v,6,3.5,273,251
38,2013 Acura RDX Specs: AWD 4-Door Tech Pkg,v6,v,6,3.5,273,251
39,2012 Acura RDX Specs: AWD 4-Door,i4,i,4,2.3,240,260
40,2012 Acura RDX Specs: FWD 4-Door Tech Pkg,i4,i,4,2.3,240,260
41,2012 Acura RDX Specs: FWD 4-Door,i4,i,4,2.3,240,260
42,2012 Acura RDX Specs: AWD 4-Door Tech Pkg,i4,i,4,2.3,240,260
43,2011 Acura RDX Specs: AWD 4-Door,i4,i,4,2.3,240,260
44,2011 Acura RDX Specs: FWD 4-Door Tech Pkg,i4,i,4,2.3,240,260
45,2011 Acura RDX Specs: FWD 4-Door,i4,i,4,2.3,240,260
46,2011 Acura RDX Specs: AWD 4-Door Tech Pkg,i4,i,4,2.3,240,260
47,2010 Acura RDX Specs: AWD 4-Door,i4,i,4,2.3,240,260
48,2010 Acura RDX Specs: FWD 4-Door Tech Pkg,i4,i,4,2.3,240,260
49,2010 Acura RDX Specs: FWD 4-Door,i4,i,4,2.3,240,260
50,2010 Acura RDX Specs: AWD 4-Door Tech Pkg,i4,i,4,2.3,240,260
51,2009 Acura RDX Specs: AWD 4-Door,i4,i,4,2.3,240,260
52,2009 Acura RDX Specs: AWD 4-Door Tech Pkg,i4,i,4,2.3,240,260
53,2008 Acura RDX Specs: 4WD 4-Door,i4,i,4,2.3,240,260
54,2008 Acura RDX Specs: 4WD 4-Door Tech Pkg,i4,i,4,2.3,240,260
55,2007 Acura RDX Specs: AWD 4-Door,i4,i,4,2.3,240,260
56,2007 Acura RDX Specs: AWD 4-Door Tech Pkg,i4,i,4,2.3,240,260
57,2019 Acura MDX Specs: FWD,v6,v,6,3.5,290,267
58,2019 Acura MDX Specs: SH-AWD w/Technology/Entertainment Pkg,v6,v,6,3.5,290,267
59,2019 Acura MDX Specs: SH-AWD w/Technology/A-Spec Pkg,v6,v,6,3.5,290,267
60,2019 Acura MDX Specs: SH-AWD w/Technology Pkg,v6,v,6,3.5,290,267
61,2019 Acura MDX Specs: SH-AWD w/Advance/Entertainment Pkg,v6,v,6,3.5,290,267
62,2019 Acura MDX Specs: SH-AWD w/Advance Pkg,v6,v,6,3.5,290,267
65,2019 Acura MDX Specs: SH-AWD,v6,v,6,3.5,290,267
66,2019 Acura MDX Specs: FWD w/Technology/Entertainment Pkg,v6,v,6,3.5,290,267
67,2019 Acura MDX Specs: FWD w/Technology Pkg,v6,v,6,3.5,290,267
68,2019 Acura MDX Specs: FWD w/Advance/Entertainment Pkg,v6,v,6,3.5,290,267
69,2019 Acura MDX Specs: FWD w/Advance Pkg,v6,v,6,3.5,290,267
70,2018 Acura MDX Specs: FWD,v6,v,6,3.5,290,267
71,2018 Acura MDX Specs: SH-AWD w/Technology/Entertainment Pkg,v6,v,6,3.5,290,267
72,2018 Acura MDX Specs: SH-AWD w/Technology Pkg,v6,v,6,3.5,290,267
73,2018 Acura MDX Specs: SH-AWD w/Advance/Entertainment Pkg,v6,v,6,3.5,290,267
74,2018 Acura MDX Specs: SH-AWD w/Advance Pkg,v6,v,6,3.5,290,267
77,2018 Acura MDX Specs: SH-AWD,v6,v,6,3.5,290,267
78,2018 Acura MDX Specs: FWD w/Technology/Entertainment Pkg,v6,v,6,3.5,290,267
79,2018 Acura MDX Specs: FWD w/Technology Pkg,v6,v,6,3.5,290,267
80,2018 Acura MDX Specs: FWD w/Advance/Entertainment Pkg,v6,v,6,3.5,290,267
81,2018 Acura MDX Specs: FWD w/Advance Pkg,v6,v,6,3.5,290,267
82,2016 Acura MDX Specs: FWD 4-Door,v6,v,6,3.5,290,267
83,2016 Acura MDX Specs: SH-AWD 4-Door w/Tech/Entertainment/AcuraWatch Plus,v6,v,6,3.5,290,267
84,2016 Acura MDX Specs: SH-AWD 4-Door w/Tech/Entertainment,v6,v,6,3.5,290,267
85,2016 Acura MDX Specs: SH-AWD 4-Door w/Tech/AcuraWatch Plus,v6,v,6,3.5,290,267
86,2016 Acura MDX Specs: SH-AWD 4-Door w/Tech,v6,v,6,3.5,290,267
87,2016 Acura MDX Specs: SH-AWD 4-Door w/Advance/Entertainment,v6,v,6,3.5,290,267
88,2016 Acura MDX Specs: SH-AWD 4-Door w/Advance,v6,v,6,3.5,290,267
89,2016 Acura MDX Specs: SH-AWD 4-Door w/AcuraWatch Plus,v6,v,6,3.5,290,267
90,2016 Acura MDX Specs: SH-AWD 4-Door,v6,v,6,3.5,290,267
91,2016 Acura MDX Specs: FWD 4-Door w/Tech/Entertainment/AcuraWatch Plus,v6,v,6,3.5,290,267
92,2016 Acura MDX Specs: FWD 4-Door w/Tech/Entertainment,v6,v,6,3.5,290,267
93,2016 Acura MDX Specs: FWD 4-Door w/Tech/AcuraWatch Plus,v6,v,6,3.5,290,267
94,2016 Acura MDX Specs: FWD 4-Door w/Tech,v6,v,6,3.5,290,267
95,2016 Acura MDX Specs: FWD 4-Door w/Advance/Entertainment,v6,v,6,3.5,290,267
96,2016 Acura MDX Specs: FWD 4-Door w/Advance,v6,v,6,3.5,290,267
97,2016 Acura MDX Specs: FWD 4-Door w/AcuraWatch Plus,v6,v,6,3.5,290,267
98,2015 Acura MDX Specs: FWD 4-Door,v6,v,6,3.5,290,267
99,2015 Acura MDX Specs: SH-AWD 4-Door Tech/Entertainment Pkg,v6,v,6,3.5,290,267
100,2015 Acura MDX Specs: SH-AWD 4-Door Tech Pkg,v6,v,6,3.5,290,267
101,2015 Acura MDX Specs: SH-AWD 4-Door Advance/Entertainment Pkg,v6,v,6,3.5,290,267
102,2015 Acura MDX Specs: SH-AWD 4-Door,v6,v,6,3.5,290,267
103,2015 Acura MDX Specs: FWD 4-Door Tech/Entertainment Pkg,v6,v,6,3.5,290,267
104,2015 Acura MDX Specs: FWD 4-Door Tech Pkg,v6,v,6,3.5,290,267
105,2015 Acura MDX Specs: FWD 4-Door Advance/Entertainment Pkg,v6,v,6,3.5,290,267
106,2014 Acura MDX Specs: FWD 4-Door,v6,v,6,3.5,290,267
107,2014 Acura MDX Specs: SH-AWD 4-Door Tech/Entertainment Pkg,v6,v,6,3.5,290,267
108,2014 Acura MDX Specs: SH-AWD 4-Door Tech Pkg,v6,v,6,3.5,290,267
109,2014 Acura MDX Specs: SH-AWD 4-Door Advance/Entertainment Pkg,v6,v,6,3.5,290,267
110,2014 Acura MDX Specs: SH-AWD 4-Door,v6,v,6,3.5,290,267
111,2014 Acura MDX Specs: FWD 4-Door Tech/Entertainment Pkg,v6,v,6,3.5,290,267
112,2014 Acura MDX Specs: FWD 4-Door Tech Pkg,v6,v,6,3.5,290,267
113,2014 Acura MDX Specs: FWD 4-Door Advance/Entertainment Pkg,v6,v,6,3.5,290,267
114,2013 Acura MDX Specs: AWD 4-Door,v6,v,6,3.7,300,270
115,2013 Acura MDX Specs: AWD 4-Door Tech/Entertainment Pkg,v6,v,6,3.7,300,270
116,2013 Acura MDX Specs: AWD 4-Door Tech Pkg,v6,v,6,3.7,300,270
117,2013 Acura MDX Specs: AWD 4-Door Advance/Entertainment Pkg,v6,v,6,3.7,300,270
118,2013 Acura MDX Specs: AWD 4-Door Advance Pkg,v6,v,6,3.7,300,270
119,2012 Acura MDX Specs: AWD 4-Door,v6,v,6,3.7,300,270
120,2012 Acura MDX Specs: AWD 4-Door Tech/Entertainment Pkg,v6,v,6,3.7,300,270
121,2012 Acura MDX Specs: AWD 4-Door Advance Pkg,v6,v,6,3.7,300,270
122,2012 Acura MDX Specs: AWD 4-Door Advance/Entertainment Pkg,v6,v,6,3.7,300,270
123,2012 Acura MDX Specs: AWD 4-Door Advance Pkg.1,v6,v,6,3.7,300,270
124,2011 Acura MDX Specs: AWD 4-Door,v6,v,6,3.7,300,270
125,2011 Acura MDX Specs: AWD 4-Door Tech/Entertainment Pkg,v6,v,6,3.7,300,270
126,2011 Acura MDX Specs: AWD 4-Door Tech Pkg,v6,v,6,3.7,300,270
127,2011 Acura MDX Specs: AWD 4-Door Advance/Entertainment Pkg,v6,v,6,3.7,300,270
128,2011 Acura MDX Specs: AWD 4-Door Advance Pkg,v6,v,6,3.7,300,270
129,2010 Acura MDX Specs: AWD 4-Door,v6,v,6,3.7,300,270
130,2010 Acura MDX Specs: AWD 4-Door Technology/Entertainment Pkg,v6,v,6,3.7,300,270
131,2010 Acura MDX Specs: AWD 4-Door Technology Pkg,v6,v,6,3.7,300,270
132,2010 Acura MDX Specs: AWD 4-Door Advance/Entertainment Pkg,v6,v,6,3.7,300,270
133,2010 Acura MDX Specs: AWD 4-Door Advance Pkg,v6,v,6,3.7,300,270
134,2009 Acura MDX Specs: AWD 4-Door,v6,v,6,3.7,300,275
135,2009 Acura MDX Specs: AWD 4-Door Tech/Entertainment Pkg,v6,v,6,3.7,300,275
136,2009 Acura MDX Specs: AWD 4-Door Tech Pkg,v6,v,6,3.7,300,275
137,2009 Acura MDX Specs: AWD 4-Door Sport/Entertainment Pkg,v6,v,6,3.7,300,275
138,2009 Acura MDX Specs: AWD 4-Door Sport Pkg,v6,v,6,3.7,300,275
139,2008 Acura MDX Specs: 4WD 4-Door,v6,v,6,3.7,300,275
140,2008 Acura MDX Specs: 4WD 4-Door Tech/Pwr Tail Gate,v6,v,6,3.7,300,275
141,2008 Acura MDX Specs: 4WD 4-Door Tech/Entertainment Pkg,v6,v,6,3.7,300,275
142,2008 Acura MDX Specs: 4WD 4-Door Tech Pkg,v6,v,6,3.7,300,275
143,2008 Acura MDX Specs: 4WD 4-Door Sport/Pwr Tail Gate,v6,v,6,3.7,300,275
144,2008 Acura MDX Specs: 4WD 4-Door Sport/Entertainment Pkg,v6,v,6,3.7,300,275
145,2008 Acura MDX Specs: 4WD 4-Door Sport Pkg,v6,v,6,3.7,300,275
146,2007 Acura MDX Specs: 4WD 4-Door,v6,v,6,3.7,300,275
147,2007 Acura MDX Specs: 4WD 4-Door Tech/Entertainment Pkg,v6,v,6,3.7,300,275
148,2007 Acura MDX Specs: 4WD 4-Door Tech Pkg,v6,v,6,3.7,300,275
149,2007 Acura MDX Specs: 4WD 4-Door Sport/Entertainment Pkg,v6,v,6,3.7,300,275
150,2007 Acura MDX Specs: 4WD 4-Door Sport Pkg,v6,v,6,3.7,300,275
151,2006 Acura MDX Specs: 4-Door SUV AT,v6,v,6,3.5,253,250
152,2006 Acura MDX Specs: 4-Door SUV AT Touring w/Navi,v6,v,6,3.5,253,250
153,2006 Acura MDX Specs: 4-Door SUV AT Touring RES w/Navi,v6,v,6,3.5,253,250
154,2006 Acura MDX Specs: 4-Door SUV AT Touring RES,v6,v,6,3.5,253,250
155,2006 Acura MDX Specs: 4-Door SUV AT Touring,v6,v,6,3.5,253,250
156,2005 Acura MDX Specs: 4-Door SUV AT,v6,v,6,3.5,265,253
157,2005 Acura MDX Specs: 4-Door SUV AT Touring w/Navi,v6,v,6,3.5,265,253
158,2005 Acura MDX Specs: 4-Door SUV AT Touring,v6,v,6,3.5,265,253
159,2005 Acura MDX Specs: 4-Door SUV AT Touring RES w/Navi,v6,v,6,3.5,265,253
160,2005 Acura MDX Specs: 4-Door SUV AT Touring RES,v6,v,6,3.5,265,253
161,2004 Acura MDX Specs: 4-Door SUV,v6,v,6,3.5,265,253
162,2004 Acura MDX Specs: 4-Door SUV Touring Pkg w/Navigation,v6,v,6,3.5,265,253
163,2004 Acura MDX Specs: 4-Door SUV Touring Pkg RES w/Nav,v6,v,6,3.5,265,253
164,2004 Acura MDX Specs: 4-Door SUV Touring Pkg RES,v6,v,6,3.5,265,253
165,2004 Acura MDX Specs: 4-Door SUV Touring Pkg,v6,v,6,3.5,265,253
166,2003 Acura MDX Specs: 4-Door SUV,v6,v,6,3.5,260,250
167,2003 Acura MDX Specs: 4-Door SUV Touring Pkg w/Navigation,v6,v,6,3.5,260,250
168,2003 Acura MDX Specs: 4-Door SUV Touring Pkg RES w/Nav,v6,v,6,3.5,260,250
169,2003 Acura MDX Specs: 4-Door SUV Touring Pkg RES,v6,v,6,3.5,260,250
170,2003 Acura MDX Specs: 4-Door SUV Touring Pkg,v6,v,6,3.5,260,250
171,2002 Acura MDX Specs: 4-Door SUV,v6,v,6,3.5,240,245
172,2002 Acura MDX Specs: 4-Door SUV Touring Pkg w/Navigation,v6,v,6,3.5,240,245
173,2002 Acura MDX Specs: 4-Door SUV w/Navigation,v6,v,6,3.5,240,245
174,2002 Acura MDX Specs: 4-Door SUV Touring Pkg,v6,v,6,3.5,240,245
175,2001 Acura MDX Specs: 4-Door SUV,v6,v,6,3.5,240,245
176,2001 Acura MDX Specs: 4-Door SUV Touring Pkg w/Navigation,v6,v,6,3.5,240,245
177,2001 Acura MDX Specs: 4-Door SUV w/Navigation,v6,v,6,3.5,240,245
178,2001 Acura MDX Specs: 4-Door SUV Touring Pkg,v6,v,6,3.5,240,245
179,2019 Acura TLX Specs: 2.4L FWD,i4,i,4,2.4,206,182
180,2019 Acura TLX Specs: 3.5L SH-AWD w/Technology Pkg,v6,v,6,3.5,290,267
181,2019 Acura TLX Specs: 3.5L SH-AWD w/Advance Pkg,v6,v,6,3.5,290,267
182,2019 Acura TLX Specs: 3.5L SH-AWD w/A-SPEC Pkg Red Leather,v6,v,6,3.5,290,267
183,2019 Acura TLX Specs: 3.5L SH-AWD w/A-SPEC Pkg,v6,v,6,3.5,290,267
184,2019 Acura TLX Specs: 3.5L SH-AWD,v6,v,6,3.5,290,267
185,2019 Acura TLX Specs: 3.5L FWD w/Technology Pkg,v6,v,6,3.5,290,267
186,2019 Acura TLX Specs: 3.5L FWD w/Advance Pkg,v6,v,6,3.5,290,267
187,2019 Acura TLX Specs: 3.5L FWD w/A-SPEC Pkg Red Leather,v6,v,6,3.5,290,267
188,2019 Acura TLX Specs: 3.5L FWD w/A-SPEC Pkg,v6,v,6,3.5,290,267
189,2019 Acura TLX Specs: 3.5L FWD,v6,v,6,3.5,290,267
190,2019 Acura TLX Specs: 2.4L FWD w/Technology Pkg,i4,i,4,2.4,206,182
191,2019 Acura TLX Specs: 2.4L FWD w/A-SPEC Pkg Red Leather,i4,i,4,2.4,206,182
192,2019 Acura TLX Specs: 2.4L FWD w/A-SPEC Pkg,i4,i,4,2.4,206,182
193,2018 Acura TLX Specs: 2.4L FWD,i4,i,4,2.4,206,182
194,2018 Acura TLX Specs: 3.5L SH-AWD w/Technology Pkg,v6,v,6,3.5,290,267
195,2018 Acura TLX Specs: 3.5L SH-AWD w/Advance Pkg,v6,v,6,3.5,290,267
196,2018 Acura TLX Specs: 3.5L SH-AWD w/A-SPEC Pkg Red Leather,v6,v,6,3.5,290,267
197,2018 Acura TLX Specs: 3.5L SH-AWD w/A-SPEC Pkg,v6,v,6,3.5,290,267
198,2018 Acura TLX Specs: 3.5L SH-AWD,v6,v,6,3.5,290,267
199,2018 Acura TLX Specs: 3.5L FWD w/Technology Pkg,v6,v,6,3.5,290,267
200,2018 Acura TLX Specs: 3.5L FWD w/Advance Pkg,v6,v,6,3.5,290,267
201,2018 Acura TLX Specs: 3.5L FWD w/A-SPEC Pkg Red Leather,v6,v,6,3.5,290,267
202,2018 Acura TLX Specs: 3.5L FWD w/A-SPEC Pkg,v6,v,6,3.5,290,267
203,2018 Acura TLX Specs: 3.5L FWD,v6,v,6,3.5,290,267
204,2018 Acura TLX Specs: 2.4L FWD w/Technology Pkg,i4,i,4,2.4,206,182
205,2016 Acura TLX Specs: 4-Door Sedan FWD,i4,i,4,2.4,206,182
206,2016 Acura TLX Specs: 4-Door Sedan SH-AWD V6 Tech,v6,v,6,3.5,290,267
207,2016 Acura TLX Specs: 4-Door Sedan SH-AWD V6 Advance,v6,v,6,3.5,290,267
208,2016 Acura TLX Specs: 4-Door Sedan FWD V6 Tech,v6,v,6,3.5,290,267
209,2016 Acura TLX Specs: 4-Door Sedan FWD V6 Advance,v6,v,6,3.5,290,267
210,2016 Acura TLX Specs: 4-Door Sedan FWD V6,v6,v,6,3.5,290,267
211,2016 Acura TLX Specs: 4-Door Sedan FWD Tech,i4,i,4,2.4,206,182
212,2015 Acura TLX Specs: 4-Door Sedan FWD,i4,i,4,2.4,206,182
213,2015 Acura TLX Specs: 4-Door Sedan SH-AWD V6 Tech,v6,v,6,3.5,290,267
214,2015 Acura TLX Specs: 4-Door Sedan SH-AWD V6 Advance,v6,v,6,3.5,290,267
215,2015 Acura TLX Specs: 4-Door Sedan FWD V6 Tech,v6,v,6,3.5,290,267
216,2015 Acura TLX Specs: 4-Door Sedan FWD V6 Advance,v6,v,6,3.5,290,267
217,2015 Acura TLX Specs: 4-Door Sedan FWD V6,v6,v,6,3.5,290,267
218,2015 Acura TLX Specs: 4-Door Sedan FWD Tech,i4,i,4,2.4,206,182
219,2019 Acura ILX Specs: Sedan,i4,i,4,2.4,201,180
220,2019 Acura ILX Specs: Sedan w/Technology/A-SPEC Pkg,i4,i,4,2.4,201,180
221,2019 Acura ILX Specs: Sedan w/Technology Pkg,i4,i,4,2.4,201,180
222,2019 Acura ILX Specs: Sedan w/Premium/A-SPEC Pkg,i4,i,4,2.4,201,180
223,2019 Acura ILX Specs: Sedan w/Premium Pkg,i4,i,4,2.4,201,180
224,2018 Acura ILX Specs: Sedan,i4,i,4,2.4,201,180
225,2018 Acura ILX Specs: Sedan w/Technology Plus/A-SPEC Pkg,i4,i,4,2.4,201,180
226,2018 Acura ILX Specs: Sedan w/Technology Plus Pkg,i4,i,4,2.4,201,180
227,2018 Acura ILX Specs: Sedan w/Premium/A-SPEC Pkg,i4,i,4,2.4,201,180
228,2018 Acura ILX Specs: Sedan w/Premium Pkg,i4,i,4,2.4,201,180
229,2018 Acura ILX Specs: Sedan w/AcuraWatch Plus,i4,i,4,2.4,201,180
230,2018 Acura ILX Specs: Special Edition Sedan,i4,i,4,2.4,201,180
231,2016 Acura ILX Specs: 4-Door Sedan,i4,i,4,2.4,201,180
232,2016 Acura ILX Specs: 4-Door Sedan w/Technology Plus/A-SPEC Pkg,i4,i,4,2.4,201,180
233,2016 Acura ILX Specs: 4-Door Sedan w/Technology Plus Pkg,i4,i,4,2.4,201,180
234,2016 Acura ILX Specs: 4-Door Sedan w/Premium/A-SPEC Pkg,i4,i,4,2.4,201,180
235,2016 Acura ILX Specs: 4-Door Sedan w/Premium Pkg,i4,i,4,2.4,201,180
236,2016 Acura ILX Specs: 4-Door Sedan w/AcuraWatch Plus Pkg,i4,i,4,2.4,201,180
237,2015 Acura ILX Specs: 4-Door Sedan 2.0L,i4,i,4,2.0,150,140
238,2015 Acura ILX Specs: 4-Door Sedan 2.4L Premium Pkg,i4,i,4,2.4,201,170
239,2015 Acura ILX Specs: 4-Door Sedan 2.0L Tech Pkg,i4,i,4,2.0,150,140
240,2015 Acura ILX Specs: 4-Door Sedan 2.0L Premium Pkg,i4,i,4,2.0,150,140
242,2014 Acura ILX Specs: 4-Door Sedan 2.4L Premium Pkg,i4,i,4,2.4,201,170
243,2014 Acura ILX Specs: 4-Door Sedan 2.0L Tech Pkg,i4,i,4,2.0,150,140
244,2014 Acura ILX Specs: 4-Door Sedan 2.0L Premium Pkg,i4,i,4,2.0,150,140
245,2014 Acura ILX Specs: 4-Door Sedan 2.0L,i4,i,4,2.0,150,140
248,2013 Acura ILX Specs: 4-Door Sedan 2.4L Premium Pkg,i4,i,4,2.4,201,170
249,2013 Acura ILX Specs: 4-Door Sedan 2.0L Tech Pkg,i4,i,4,2.0,150,140
250,2013 Acura ILX Specs: 4-Door Sedan 2.0L Premium Pkg,i4,i,4,2.0,150,140
251,2013 Acura ILX Specs: 4-Door Sedan 2.0L,i4,i,4,2.0,150,140
255,2005 Acura NSX Specs: 2-Door Coupe AT,v6,v,6,3.0,252,210
256,2005 Acura NSX Specs: 2-Door Coupe MT,v6,v,6,3.2,290,224
257,2004 Acura NSX Specs: 2-Door NSX-T Open Top 3.0L Automatic,v6,v,6,3.0,252,210
258,2004 Acura NSX Specs: 2-Door NSX-T Open Top 3.2L Manual,v6,v,6,3.2,290,224
259,2003 Acura NSX Specs: 2-Door NSX-T Open Top 3.0L Automatic,v6,v,6,3.0,252,210
260,2003 Acura NSX Specs: 2-Door NSX-T Open Top 3.2L Manual,v6,v,6,3.2,290,224
261,2002 Acura NSX Specs: 2-Door NSX-T Open Top 3.0L Automatic,v6,v,6,3.0,252,210
262,2002 Acura NSX Specs: 2-Door NSX-T Open Top 3.2L Manual,v6,v,6,3.2,290,224
263,2001 Acura NSX Specs: 2-Door NSX Coupe 3.0L Automatic,v6,v,6,3.0,252,210
264,2001 Acura NSX Specs: 2-Door NSX-T Open Top 3.2L Manual,v6,v,6,3.2,290,224
265,2001 Acura NSX Specs: 2-Door NSX-T Open Top 3.0L Automatic,v6,v,6,3.0,252,210
266,2001 Acura NSX Specs: 2-Door NSX Coupe 3.2L Manual,v6,v,6,3.2,290,224
267,2000 Acura NSX Specs: 2-Door NSX Coupe 3.0L Automatic,v6,v,6,3.0,252,210
268,2000 Acura NSX Specs: 2-Door NSX-T Open Top 3.2L Manual,v6,v,6,3.2,290,224
269,2000 Acura NSX Specs: 2-Door NSX-T Open Top 3.0L Automatic,v6,v,6,3.0,252,210
270,2000 Acura NSX Specs: 2-Door NSX Coupe 3.2L Manual,v6,v,6,3.2,290,224
271,1999 Acura NSX Specs: 2-Door NSX Coupe 3.0L Automatic,v6,v,6,3.0,252,210
272,1999 Acura NSX Specs: 2-Door NSX-T Open Top 3.2L Manual,v6,v,6,3.2,290,224
273,1999 Acura NSX Specs: 2-Door NSX-T Open Top 3.0L Automatic,v6,v,6,3.0,252,210
274,1999 Acura NSX Specs: 2-Door NSX Coupe 3.2L Manual,v6,v,6,3.2,290,224
275,1998 Acura NSX Specs: 2-Door NSX Coupe 3.0L Automatic,v6,v,6,3.0,252,210
276,1998 Acura NSX Specs: 2-Door NSX-T Open Top 3.2L Manual,v6,v,6,3.2,290,224
277,1998 Acura NSX Specs: 2-Door NSX-T Open Top 3.0L Automatic,v6,v,6,3.0,252,210
278,1998 Acura NSX Specs: 2-Door NSX Coupe 3.2L Manual,v6,v,6,3.2,290,224
279,1997 Acura NSX Specs: 2-Door NSX Coupe 3.0L Automatic,v6,v,6,3.0,252,210
280,1997 Acura NSX Specs: 2-Door NSX-T Open Top 3.2L Manual,v6,v,6,3.2,290,224
281,1997 Acura NSX Specs: 2-Door NSX-T Open Top 3.0L Automatic,v6,v,6,3.0,252,210
282,1997 Acura NSX Specs: 2-Door NSX Coupe 3.2L Manual,v6,v,6,3.2,290,224
298,2019 Acura RLX Specs: Sedan w/Technology Pkg,v6,v,6,3.5,310,272
300,2018 Acura RLX Specs: Sedan w/Technology Pkg,v6,v,6,3.5,310,272
301,2016 Acura RLX Specs: 4-Door Sedan Advance Pkg,v6,v,6,3.5,310,272
302,2016 Acura RLX Specs: 4-Door Sedan Tech Pkg,v6,v,6,3.5,310,272
303,2016 Acura RLX Specs: 4-Door Sedan Navigation,v6,v,6,3.5,310,272
306,2015 Acura RLX Specs: 4-Door Sedan,v6,v,6,3.5,310,272
307,2015 Acura RLX Specs: 4-Door Sedan Tech Pkg,v6,v,6,3.5,310,272
308,2015 Acura RLX Specs: 4-Door Sedan Navigation,v6,v,6,3.5,310,272
309,2015 Acura RLX Specs: 4-Door Sedan Krell Audio Pkg,v6,v,6,3.5,310,272
310,2015 Acura RLX Specs: 4-Door Sedan Advance Pkg,v6,v,6,3.5,310,272
311,2014 Acura RLX Specs: 4-Door Sedan,v6,v,6,3.5,310,272
312,2014 Acura RLX Specs: 4-Door Sedan Tech Pkg,v6,v,6,3.5,310,272
313,2014 Acura RLX Specs: 4-Door Sedan Navigation,v6,v,6,3.5,310,272
314,2014 Acura RLX Specs: 4-Door Sedan Krell Audio Pkg,v6,v,6,3.5,310,272
317,2014 Acura RLX Specs: 4-Door Sedan Advance Pkg,v6,v,6,3.5,310,272
318,2018 Alfa Romeo 4C Specs: Coupe,i4,i,4,1.7,237,258
319,2016 Alfa Romeo 4C Specs: 2-Door Convertible Spider,i4,i,4,1.7,237,258
320,2016 Alfa Romeo 4C Specs: 2-Door Coupe,i4,i,4,1.7,237,258
321,2015 Alfa Romeo 4C Specs: 2-Door Convertible Spider,i4,i,4,1.7,237,258
322,2015 Alfa Romeo 4C Specs: 2-Door Coupe Launch Edition,i4,i,4,1.7,237,258
323,2015 Alfa Romeo 4C Specs: 2-Door Coupe,i4,i,4,1.7,237,258
